,serial,init_equity,equity,leverage,contract,qty,entry_price,losscut_price,exit_price,limit_price,pl,pred,tradetype,stage,losscut,entrytime,exittime,direction,startup_flag
51,29658,830.3411461361235,830.3411461361235,3.0,ETHUSDT,0.94,2639.7,2613.303,0.0,1756.3583551743363,0.0,1,LONG_CANCEL,0,0,2024-01-12 11:30:00,2024-01-12 12:00:00,upper,0
52,29659,830.3411461361235,802.8131723538738,3.0,ETHUSDT,0.93,2665.36,2638.7064,2638.7064,1772.520057918147,-27.527973782249603,1,LONG_EXIT,0,losscut,2024-01-12 13:30:00,2024-01-12 15:30:00,upper,0
53,29660,802.8131723538738,802.8131723538738,3.0,ETHUSDT,0.92,2614.9,2641.049,0.0,3487.5230134281237,0.0,0,SHORT_CANCEL,0,0,2024-01-12 17:30:00,2024-01-12 18:00:00,upper,0
54,29661,802.8131723538738,802.8131723538738,3.0,ETHUSDT,0.94,2551.77,2577.2877,0.0,3405.8265663339084,0.0,0,SHORT_CANCEL,0,0,2024-01-12 21:30:00,2024-01-12 22:00:00,upper,0
55,29662,802.8131723538738,785.8310888851059,3.0,ETHUSDT,0.96,2511.26,2536.3726,2526.19,3347.523721201952,-16.982083468767918,0,SHORT_EXIT,0,0,2024-01-12 22:30:00,2024-01-12 23:00:00,upper,0
56,29663,785.8310888851059,787.5623462917853,3.0,ETHUSDT,0.93,2543.64,2518.2036,2548.29,1698.6603345321441,1.7312574066793212,1,LONG_EXIT,0,0,2024-01-13 03:30:00,2024-01-13 05:00:00,upper,0
57,29664,787.5623462917853,787.5623462917853,3.0,ETHUSDT,0.93,2543.63,2569.0663,0.0,3390.471232571812,0.0,0,SHORT_CANCEL,0,0,2024-01-13 10:00:00,2024-01-13 10:30:00,upper,0
58,29665,787.5623462917853,776.720190549022,3.0,ETHUSDT,0.92,2570.04,2595.7404,2579.0,3426.0860285780273,-10.842155742763234,0,SHORT_EXIT,0,0,2024-01-13 19:30:00,2024-01-13 22:30:00,upper,0
59,29666,776.720190549022,776.720190549022,3.0,ETHUSDT,0.92,2525.05,2499.7995,0.0,1680.7889233162805,0.0,1,LONG_CANCEL,0,0,2024-01-15 10:00:00,2024-01-15 10:30:00,upper,0
60,29667,776.720190549022,776.720190549022,3.0,ETHUSDT,0.92,2535.66,2510.3034,0.0,1691.3989233162802,0.0,1,LONG_CANCEL,0,0,2024-01-15 11:30:00,2024-01-15 12:00:00,upper,0
