close,volume,turnover,rsi,upper,middle,lower,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,bb_diff,up_ratio,dw_ratio,rsi_up_ratio
26982.8,10096.495,272687536.9,59.8,26975.89,26856.78,26737.66,14.43,5.28,9.15,28.01,12.41,21.63,25.95,4716.0592857142865,569.3,10.05,-139.97,11.72,276.5,0.45,0.55,0.3714
26529.9,6539.065,173457544.6,59.35,26510.59,26425.91,26341.23,24.94,16.43,8.5,22.07,18.96,14.87,20.1,3045.9710714285725,285.35,20.68,-97.55,1.62,110.69999999999709,0.45,0.55,0.3714
26794.7,1722.594,46147482.79,61.7,26783.69,26701.49,26619.28,31.8,28.11,3.69,27.45,14.42,16.52,16.4,2025.2120000000011,43.03,25.22,30.05,14.45,347.8999999999978,0.48,0.52,0.3898
27574.9,20032.158,552568084.7,82.44,27421.1,27157.7,26894.3,142.55,123.39,19.16,47.9,5.34,52.13,43.35,4167.557500000001,1126.54,101.86,-184.77,16.13,407.2999999999993,0.48,0.52,0.75
28014.5,5506.561,153878885.7,67.28,27978.96,27789.43,27599.91,49.31,30.97,18.34,28.11,16.54,16.84,22.23,3365.5825714285725,263.45,48.13,16.75,7.39,-226.1,0.48,0.52,0.3898
27140,5635.465,152918942.7,61.76,27124.95,26939.46,26753.98,1.52,-35.6,37.12,24.16,24.08,26.64,30.29,5387.760357142858,229.05,50.79,34.85,16.19,-242.8,0.3,0.7,0.3898
27286.9,4534.355,123483263.6,64.92,27238.85,27153,27067.14,30.72,28.14,2.58,29.46,14.49,10.48,11.97,1185.9182142857153,150.32,21.7,-103.78,11.82,-137.1,0.44,0.56,0.3898
26358.8,18610.719,487952332.1,64.76,26256.4,25903.02,25549.63,-64.98,-169.47,104.48,27.72,24.87,42.7,47.69,7882.300642857143,1171.4,78.43,-155.3,34.51,541.7000000000007,0.3,0.7,0.3898
26703.1,7574.382,202123496.2,60.89,26699.61,26470.85,26242.1,15.46,-20.82,36.29,27.08,17.06,19.69,21.88,4400.833071428572,400.94,41.54,-4.31,15.45,-218,0.48,0.52,0.3898
25933.3,7993.738,207487861,57.94,25904.16,25783.95,25663.74,-11.19,-39.84,28.65,30.24,14.49,14.86,19.36,2569.119000000001,473.27,21.45,-97.12,18.64,-167.3,0.45,0.55,0.3714
26117.9,7310.492,190548209.8,65.65,26059.37,25898.68,25737.99,30.04,9.35,20.69,23.51,13.77,12.37,13.81,4002.030857142858,364.27,34.4,58.52,12.5,-98.4,0.44,0.56,0.3898
25383.2,9233.708,232944873.3,57.84,25353.24,25137.5,24921.75,-108.61,-173.18,64.56,22.88,22.73,48.38,46.09,4535.138357142858,395.35,-2.49,-844.05,21.65,164.79999999999927,0.3,0.7,0.3714
25610,25019.031,635981016.6,58.6,25578.36,25486.37,25394.38,58.82,60.42,-1.59,14.14,27.92,17.41,24.52,4153.425357142858,1411.95,22.61,-666.21,-20.12,573.7000000000007,0.48,0.52,0.3714
26604.3,3685.501,97982492.83,60.8,26584.51,26509.33,26434.15,40.72,45.83,-5.11,25.13,16.92,10.18,12.07,2153.996642857144,214.15,17.54,-6.65,2.75,-140.2,0.48,0.52,0.3898
