start_at,open,high,low,close,volume,turnover,date,upper,midle,lower,macd,macdsignal,macdhist,bb_diff,bb_flag,prev_macd,prev_macdsignal,macdhist_positive,macd_rising,macdsignal_rising,macd_positive,macdsignal_positive
1685887200000.0,27235.0,27256.0,27161.5,27226.8,2481.011,67503930.4449,2023-06-04 14:00:00,27302.63,27148.89,26995.15,28.88,11.7,17.17,0.0,,25.35,7.41,True,True,True,True,True
1685890800000.0,27226.8,27239.1,27165.0,27165.1,1840.03,50037113.2769,2023-06-04 15:00:00,27305.66,27150.43,26995.2,26.39,14.64,11.75,0.0,,28.88,11.7,True,False,True,True,True
1685894400000.0,27165.1,27188.1,27142.2,27160.1,2008.922,54575860.6986,2023-06-04 16:00:00,27305.12,27151.35,26997.58,23.75,16.46,7.28,0.0,,26.39,14.64,True,False,True,True,True
1685898000000.0,27160.1,27205.0,27156.2,27167.0,1053.61,28641926.7059,2023-06-04 17:00:00,27297.91,27152.84,27007.77,21.95,17.56,4.39,0.0,,23.75,16.46,True,False,True,True,True
1685901600000.0,27167.0,27204.1,27166.9,27185.5,560.182,15229271.683,2023-06-04 18:00:00,27300.18,27155.95,27011.72,21.77,18.4,3.36,0.0,,21.95,17.56,True,False,True,True,True
1685905200000.0,27185.5,27215.7,27181.4,27203.9,949.706,25832678.5661,2023-06-04 19:00:00,27303.79,27160.52,27017.25,22.85,19.29,3.55,0.0,,21.77,18.4,True,True,True,True,True
1685908800000.0,27203.9,27265.0,27197.6,27237.2,1827.746,49782899.0334,2023-06-04 20:00:00,27301.37,27167.82,27034.27,26.09,20.65,5.43,0.0,,22.85,19.29,True,True,True,True,True
1685912400000.0,27237.2,27272.7,27172.0,27181.9,2252.862,61323660.8581,2023-06-04 21:00:00,27291.52,27169.16,27046.8,23.92,21.31,2.61,0.0,,26.09,20.65,True,False,True,True,True
1685916000000.0,27181.9,27450.0,27175.8,27222.2,11851.982,323716927.3584,2023-06-04 22:00:00,27294.52,27174.21,27053.91,25.16,22.08,3.08,0.0,,23.92,21.31,True,True,True,True,True
1685919600000.0,27222.2,27309.9,27030.1,27105.5,6607.052,179436876.0053,2023-06-04 23:00:00,27279.8,27167.67,27055.53,16.54,20.97,-4.42,0.0,,25.16,22.08,False,False,False,True,True
1685923200000.0,27105.5,27116.5,26958.7,27014.3,5210.459,140883180.5501,2023-06-05 00:00:00,27273.35,27153.06,27032.77,2.32,17.24,-14.91,86.41999999999825,lower,16.54,20.97,False,False,False,True,True
1685926800000.0,27014.3,27046.0,26932.1,27038.7,3244.289,87603062.43729998,2023-06-05 01:00:00,27260.64,27142.17,27023.7,-6.89,12.41,-19.31,0.0,,2.32,17.24,False,False,False,False,True
1685930400000.0,27038.7,27069.3,26851.0,26920.4,4664.174,125691559.0613,2023-06-05 02:00:00,27280.38,27121.05,26961.72,-23.47,5.23,-28.71,88.62000000000262,lower,-6.89,12.41,False,False,False,False,True
1685934000000.0,26920.4,26920.4,26771.5,26834.0,7113.148,190962656.022,2023-06-05 03:00:00,27306.6,27093.71,26880.82,-43.09,-4.42,-38.66,22.299999999999272,lower,-23.47,5.23,False,False,False,False,False
1685937600000.0,26834.0,26860.9,26755.0,26832.0,3871.769,103828915.668,2023-06-05 04:00:00,27320.98,27068.78,26816.58,-58.13,-15.16,-42.96,0.0,,-43.09,-4.42,False,False,False,False,False
1685941200000.0,26832.0,26836.2,26730.0,26814.7,4636.41,124229535.6232,2023-06-05 05:00:00,27328.09,27044.58,26761.08,-70.63,-26.26,-44.37,0.0,,-58.13,-15.16,False,False,False,False,False
1685944800000.0,26814.7,26831.5,26753.2,26757.8,2475.829,66327861.1522,2023-06-05 06:00:00,27334.44,27017.27,26700.1,-84.15,-37.84,-46.31,0.0,,-70.63,-26.26,False,False,False,False,False
1685948400000.0,26757.8,26828.6,26731.2,26820.0,2816.762,75472884.9025,2023-06-05 07:00:00,27331.67,26998.48,26665.29,-88.83,-48.04,-40.79,0.0,,-84.15,-37.84,False,False,False,False,False
1685952000000.0,26820.0,26834.8,26783.5,26791.1,1773.652,47546216.1619,2023-06-05 08:00:00,27326.42,26978.73,26631.04,-93.79,-57.19,-36.6,0.0,,-88.83,-48.04,False,False,False,False,False
1685955600000.0,26791.1,26823.0,26673.8,26771.6,5701.695,152582898.2788,2023-06-05 09:00:00,27314.8,26959.0,26603.21,-98.16,-65.38,-32.77,0.0,,-93.79,-57.19,False,False,False,False,False
1685959200000.0,26771.6,26782.5,26694.2,26702.0,3176.627,84929044.8215,2023-06-05 10:00:00,27303.35,26934.53,26565.7,-106.02,-73.51,-32.5,0.0,,-98.16,-65.38,False,False,False,False,False
1685962800000.0,26702.0,26786.0,26650.0,26766.0,4863.435,129948774.9307,2023-06-05 11:00:00,27291.76,26918.48,26545.19,-105.86,-79.98,-25.88,0.0,,-106.02,-73.51,False,True,False,False,False
1685966400000.0,26766.0,26775.0,26633.0,26687.8,4120.762,110010987.8759,2023-06-05 12:00:00,27279.91,26896.51,26513.1,-110.77,-86.14,-24.63,0.0,,-105.86,-79.98,False,False,False,False,False
1685970000000.0,26687.8,26758.1,26628.1,26719.9,4815.482,128592623.2801,2023-06-05 13:00:00,27262.64,26879.69,26496.74,-110.79,-91.07,-19.72,0.0,,-110.77,-86.14,False,False,False,False,False
1685973600000.0,26719.9,26812.2,26690.7,26790.9,5291.629,141618729.4832,2023-06-05 14:00:00,27239.96,26871.23,26502.5,-103.88,-93.63,-10.25,0.0,,-110.79,-91.07,False,True,False,False,False
1685977200000.0,26790.9,26804.3,25965.6,25985.0,47277.477,1248097796.8856,2023-06-05 15:00:00,27311.46,26786.83,26262.19,-161.57,-107.22,-54.35,241.1800000000003,lower,-103.88,-93.63,False,False,False,False,False
1685980800000.0,25985.0,26071.8,25361.5,25802.6,55632.805,1431368101.4088,2023-06-05 16:00:00,27359.34,26693.09,26026.84,-219.48,-129.67,-89.81,130.13999999999942,lower,-161.57,-107.22,False,False,False,False,False
1685984400000.0,25802.6,25803.7,25566.0,25750.0,9853.547,253121911.3305,2023-06-05 17:00:00,27379.2,26603.27,25827.34,-266.55,-157.05,-109.5,108.31999999999971,lower,-219.48,-129.67,False,False,False,False,False
1685988000000.0,25750.0,25750.1,25512.1,25555.0,7312.319,187434117.6466,2023-06-05 18:00:00,27390.09,26503.44,25616.78,-315.94,-188.83,-127.11,-76.93999999999869,lower,-266.55,-157.05,False,False,False,False,False
1685991600000.0,25555.0,25632.9,25372.4,25626.5,11412.343,290992129.0309,2023-06-05 19:00:00,27377.15,26419.92,25462.68,-345.33,-220.13,-125.2,0.0,,-315.94,-188.83,False,False,False,False,False
1685995200000.0,25626.5,25670.0,25571.7,25628.2,2816.316,72162303.3363,2023-06-05 20:00:00,27356.13,26344.52,25332.9,-364.29,-248.96,-115.33,0.0,,-345.33,-220.13,False,False,False,False,False
1685998800000.0,25628.2,25669.4,25501.0,25648.7,4695.779,120087921.5703,2023-06-05 21:00:00,27317.32,26278.25,25239.18,-373.36,-273.84,-99.51,0.0,,-364.29,-248.96,False,False,False,False,False
1686002400000.0,25648.7,25769.6,25637.5,25701.3,3600.713,92539192.7499,2023-06-05 22:00:00,27278.41,26223.3,25168.19,-372.01,-293.47,-78.53,0.0,,-373.36,-273.84,False,True,False,False,False
1686006000000.0,25701.3,25854.9,25688.9,25717.2,3846.512,99135959.5083,2023-06-05 23:00:00,27239.85,26175.1,25110.35,-365.45,-307.87,-57.57,0.0,,-372.01,-293.47,False,True,False,False,False
1686009600000.0,25717.2,25745.4,25661.1,25680.3,3140.029,80703398.08059998,2023-06-06 00:00:00,27194.55,26127.97,25061.39,-359.08,-318.11,-40.97,0.0,,-365.45,-307.87,False,True,False,False,False
1686013200000.0,25680.3,25686.1,25594.1,25627.3,1997.741,51220490.8465,2023-06-06 01:00:00,27143.56,26080.29,25017.02,-354.23,-325.34,-28.89,0.0,,-359.08,-318.11,False,True,False,False,False
