,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi
5971,1695412800.0,26524,26582,26464,26565.7,5229.11,138717554.8048,2023-09-22 20:00:00,0.00002708,-0.00054286,59710.05800000
5972,1695427200.0,26565.7,26603.5,26510.1,26517.4,3065.638,81417088.5584,2023-09-23 00:00:00,0.00002088,-0.00052984,59240.36600000
5973,1695441600.0,26517.4,26571.1,26496.1,26567.7,2436.753,64674035.7938,2023-09-23 04:00:00,0.00002088,-0.00052565,59117.34500000
5974,1695456000.0,26567.7,26576.2,26541.3,26566.6,2022.256,53708194.8127,2023-09-23 08:00:00,-0.00001691,-0.00035445,59275.77500000
5975,1695470400.0,26566.6,26578,26531.9,26566.4,2231.131,59249245.8545,2023-09-23 12:00:00,-0.00001691,-0.00059771,59108.02900000
5976,1695484800.0,26566.4,26620,26545.7,26598.5,3642.832,96872756.9072,2023-09-23 16:00:00,0.00002647,-0.00035512,58937.55000000
5977,1695499200.0,26598.5,26600,26545.3,26565.6,1816.899,48268575.787,2023-09-23 20:00:00,0.00002647,-0.00039046,59081.70900000
5978,1695513600.0,26565.6,26579.4,26545.1,26556.1,1216.438,32312084.7103,2023-09-24 00:00:00,0.00005368,-0.00052231,58944.12600000
5979,1695528000.0,26556.1,26560.3,26533,26551.1,1537.596,40818007.903,2023-09-24 04:00:00,0.00005368,-0.00043464,58836.89700000
5980,1695542400.0,26551.1,26601,26551,26583.7,2432.653,64659492.7094,2023-09-24 08:00:00,0.00003652,-0.00049635,58966.63400000
5981,1695556800.0,26583.7,26615,26550.2,26564.5,2461.322,65419143.6291,2023-09-24 12:00:00,0.00003652,-0.00058020,59175.25200000
5982,1695571200.0,26564.5,26724.9,26301.3,26438.5,23960.672,635468052.6522,2023-09-24 16:00:00,0.00006269,-0.00039080,59392.63600000
5983,1695585600.0,26438.5,26512.2,26079,26232.9,20437.426,537478311.4581,2023-09-24 20:00:00,0.00006269,-0.00055501,57795.24800000
5984,1695600000.0,26232.9,26320,25971.3,26142.7,28169.913,736874452.0128,2023-09-25 00:00:00,0.00001607,-0.00051819,56954.88400000
5985,1695614400.0,26142.7,26181.7,26025,26174.9,12047.907,314635664.6142,2023-09-25 04:00:00,0.00001607,-0.00045532,58586.23200000
5986,1695628800.0,26174.9,26214.5,26005.1,26064.2,10497.485,273803525.6086,2023-09-25 08:00:00,-0.00000638,-0.00042165,59903.64400000
5987,1695643200.0,26064.2,26294.3,25981.6,26227.5,21999.416,575304260.5651,2023-09-25 12:00:00,-0.00000638,-0.00066451,60765.63900000
