,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
2039,15767,15967,1701241200000.0,38179.9,38184.3,38068.1,38157.0,1551.307,59138184.816,2023-11-29 07:00:00,0.0001,0.0001626,60850.101,63.48,38061.55,37869.63,37965.59,38157.5,37773.67,38253.46,37677.72,92.85,89.52,3.33,28.38,12.27,27.49,30.86,1648.6457857142857,-93.7,20.14,38.99,6.0,38007.36,38122.47,PositionState,upper,38157.0,37982.4,0.0,-174.59999999999854,193.09999999999852,-174.59999999999854,16.474999999999454,-34.70999999999913
2040,15802,16002,1701304200000.0,37777.9,37850.0,37777.9,37780.0,596.063,22538638.4933,2023-11-30 00:30:00,0.0001,0.0,59328.185,45.33,37888.83,37782.62,37835.73,37941.94,37729.51,37995.05,37676.4,-41.23,-47.74,6.51,13.9,20.75,19.44,23.73,1349.7712857142858,-97.37,-5.85,-60.62,-0.55,37790.25,37794.95,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,15803,16003,1701306000000.0,37780.0,37794.9,37718.4,37780.8,832.539,31433377.2033,2023-11-30 01:00:00,0.0001,0.00017348,59262.983,45.39,37883.09,37777.89,37830.49,37935.69,37725.29,37988.3,37672.69,-40.56,-46.31,5.74,13.35,23.03,19.96,23.13,1294.1607857142858,-55.61,-5.24,-8.58,-3.36,37800.85,37787.87,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,15804,16004,1701307800000.0,37780.8,37823.5,37701.7,37708.8,820.115,30966996.0196,2023-11-30 01:30:00,0.0001,0.00011085,59269.691,41.35,37873.64,37764.16,37818.9,37928.38,37709.42,37983.13,37654.68,-45.32,-46.11,0.78,14.0,21.55,20.05,22.37,1250.7555714285716,-43.4,-11.58,2.3,1.58,37793.04,37748.33,EnterPreparationState,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2043,15805,16005,1701309600000.0,37708.8,37825.4,37697.0,37824.3,680.612,25689657.5199,2023-11-30 02:00:00,0.0001,8.413e-05,59448.89,49.16,37872.0,37766.83,37819.42,37924.59,37714.25,37977.18,37661.66,-39.32,-44.75,5.42,13.05,20.34,20.18,21.6,1167.0242142857144,-83.73,0.51,-15.93,0.91,37801.3,37786.31,PositionState,lower,37824.3,37876.1,0.0,-51.799999999995634,0.0,-51.799999999995634,-25.899999999997817,-44.88999999999942
2044,15806,16006,1701311400000.0,37824.3,37921.4,37795.3,37876.1,1487.904,56357481.7067,2023-11-30 02:30:00,0.0001,0.0,59403.142,52.23,37880.04,37769.59,37824.82,37935.26,37714.37,37990.49,37659.14,-30.04,-41.81,11.76,17.27,18.98,19.07,20.28,1200.6591428571428,33.63,5.4,6.76,4.62,37806.64,37831.2,IdleState,lower,37824.3,37876.1,-51.799999999995634,0.0,0.0,0.0,0.0,0.0
2045,15807,16007,1701313200000.0,37876.1,37891.4,37842.0,37880.1,568.146,21512658.5669,2023-11-30 03:00:00,0.0001,0.00014571,59300.565,52.47,37884.42,37775.74,37830.08,37938.75,37721.41,37993.09,37667.07,-22.11,-37.87,15.76,16.8,18.45,18.04,19.57,1189.4985,-11.16,5.26,7.12,4.28,37815.63,37855.65,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,15808,16008,1701315000000.0,37880.1,38059.7,37860.0,38053.6,2529.975,96110966.9835,2023-11-30 03:30:00,0.0001,1.234e-05,59367.673,61.46,37927.4,37775.33,37851.37,38003.43,37699.3,38079.46,37623.27,-1.8,-30.66,28.85,24.01,16.48,18.08,19.55,1174.3058571428571,-15.19,21.29,90.27,8.71,37837.79,37954.62,EnterPreparationState,upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,15809,16009,1701316800000.0,38053.6,38145.0,38031.6,38041.7,2620.453,99798311.6076,2023-11-30 04:00:00,0.0001,-1.846e-05,59157.928,60.62,37958.82,37780.17,37869.49,38048.15,37690.84,38137.47,37601.51,13.17,-21.89,35.07,27.15,15.47,18.75,19.85,1167.0640714285714,-7.24,18.11,117.86,11.35,37858.14,37998.16,PositionState,upper,38041.7,37878.0,0.0,-163.6999999999971,0.0,-163.6999999999971,-94.16666666666544,-91.16000000000348
2048,15845,16045,1701381600000.0,37739.9,37812.0,37708.8,37792.1,866.351,32734475.8436,2023-11-30 22:00:00,0.0001,-3.89e-05,60567.709,53.59,37816.68,37677.67,37747.17,37886.18,37608.16,37955.69,37538.66,-9.49,-20.08,10.59,17.96,18.54,17.28,20.33,1021.3521428571428,-82.95,4.72,-34.57,3.66,37752.35,37766.13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
