start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason
2024-02-15 04:00:00,2803.46,2808.0,2758.5,2773.75,133510.76,371478477.76,2024-02-15 04:00:00,71.36,2765.27,2578.49,2671.88,2858.65,2485.1,2952.04,2391.71,13.98,73.06,63.22,9.84,38.34,9.36,54.66,52.43,157616.38785714286,69.84,-101.86999999999989,16.88,-2.1,2729.22,2772.79,84.90000000000009,-288.6500000000001,-0.9600000000000364,-44.5300000000002,1.3599999999999994,41.36,28.980000000000004,9.840000000000003,373.5500000000002,183.8970000000001,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,223.08712815543703,166.21171403731222,None
2024-02-15 08:00:00,2773.75,2804.0,2770.55,2795.62,92422.54,258023546.0869,2024-02-15 08:00:00,73.22,2774.51,2592.81,2683.66,2865.36,2501.97,2956.21,2411.12,13.54,73.91,65.36,8.55,36.32,8.86,55.1,53.35,155469.42571428572,-2146.96,-111.96000000000004,-1.78,-4.71,2746.36,2781.92,69.74000000000024,-293.6500000000001,-13.699999999999818,-49.25999999999976,3.219999999999999,43.22,27.46,8.549999999999997,363.3900000000003,209.0475000000003,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,218.49113509538637,180.05714313071456,None
2024-02-15 12:00:00,2795.62,2871.81,2778.0,2829.19,331302.82,937380627.0221,2024-02-15 12:00:00,75.83,2785.96,2609.09,2697.52,2874.39,2520.65,2962.83,2432.21,13.11,76.42,67.57,8.84,41.27,7.64,56.07,54.63,174375.52428571432,18906.09,-131.67000000000007,-2.94,4.14,2767.44,2800.82,45.19999999999982,-308.53999999999996,-28.36999999999989,-61.75,5.829999999999998,45.83,33.63,8.850000000000009,353.7399999999998,247.65300000000042,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,296.4047074458919,188.61718020505822,None
2024-02-15 16:00:00,2829.19,2844.0,2804.43,2836.54,170249.78,480946560.2094,2024-02-15 16:00:00,76.37,2792.36,2629.17,2710.76,2873.95,2547.57,2955.55,2465.97,12.04,78.09,69.67,8.41,38.84,7.19,56.97,54.61,175123.47214285712,747.94,-125.77999999999975,-18.33,2.97,2787.72,2815.11,37.409999999999854,-288.9699999999998,-21.429999999999836,-48.820000000000164,6.3700000000000045,46.370000000000005,31.650000000000002,8.420000000000002,326.37999999999965,256.1055000000003,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,264.45106569589115,218.9852043493417,None
2024-02-15 20:00:00,2836.54,2849.0,2788.33,2825.09,149418.36,421424718.8729,2024-02-15 20:00:00,73.6,2800.09,2643.21,2721.65,2878.53,2564.77,2956.96,2486.33,11.52,77.6,71.26,6.34,35.4,8.9,57.17,54.27,153995.10428571427,-21128.36,-103.44000000000005,-13.05,-7.58,2795.12,2819.1,53.440000000000055,-260.32000000000016,-5.9900000000002365,-29.970000000000255,3.5999999999999943,43.599999999999994,26.5,6.339999999999989,313.7600000000002,242.93800000000027,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,270.19605702095413,200.48633228263878,None
2024-02-16 00:00:00,2825.09,2860.0,2822.72,2848.72,77813.16,221363482.4819,2024-02-16 00:00:00,75.57,2813.19,2654.31,2733.75,2892.64,2574.86,2972.08,2495.42,11.62,78.22,72.65,5.56,35.07,8.41,57.47,54.07,146810.10785714287,-7184.99,-114.9699999999998,8.59,-3.28,2805.88,2830.95,43.92000000000007,-273.8599999999997,-17.769999999999982,-42.83999999999969,5.569999999999993,45.56999999999999,26.66,5.569999999999993,317.77999999999975,270.1124999999999,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,282.83503793609333,240.0003826164222,None
2024-02-16 04:00:00,2848.72,2855.0,2813.27,2817.39,90888.02,257529332.4436,2024-02-16 04:00:00,68.3,2821.73,2661.7,2741.72,2901.75,2581.68,2981.77,2501.66,11.67,75.31,73.18,2.12,32.88,9.3,57.36,53.7,145350.86857142858,-1459.23,-75.67000000000007,16.4,-3.4,2811.82,2825.52,84.36000000000013,-235.71000000000004,8.13000000000011,-5.569999999999709,-1.7000000000000028,38.3,23.580000000000002,2.1299999999999955,320.07000000000016,234.08300000000025,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,277.0900466110299,229.14234901205344,None
2024-02-16 08:00:00,2817.39,2837.98,2795.4,2825.69,121013.37,341228357.5608,2024-02-16 08:00:00,69.14,2828.9,2670.53,2749.71,2908.08,2591.34,2987.26,2512.16,11.51,72.84,73.12,-0.27,30.76,11.4,56.54,53.09,149947.20285714284,4596.33,-75.98000000000002,5.77,-6.41,2817.27,2825.59,82.38999999999987,-234.3499999999999,-0.09999999999990905,-8.420000000000073,-0.8599999999999994,39.14,19.36,-0.28000000000000114,316.7399999999998,243.62800000000033,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,257.53409614051515,208.60975001627793,None
2024-02-16 12:00:00,2825.69,2850.63,2730.01,2776.93,292434.53,819326587.6055,2024-02-16 12:00:00,59.15,2828.59,2676.02,2752.3,2904.87,2599.74,2981.16,2523.45,11.08,66.18,71.73,-5.54,25.72,18.42,53.68,52.12,166417.45500000002,16470.25,-24.629999999999654,-5.27,-14.18,2814.32,2806.12,127.94000000000005,-177.19000000000005,29.190000000000055,37.39000000000033,-10.850000000000001,29.15,7.299999999999997,-5.549999999999997,305.1300000000001,187.55400000000026,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,272.06892419292507,133.47675346710292,None
2024-02-16 16:00:00,2776.93,2809.05,2757.55,2764.04,140051.53,389789648.9091,2024-02-16 16:00:00,56.81,2828.06,2678.78,2753.42,2902.7,2604.14,2977.34,2529.5,10.84,59.18,69.22,-10.03,23.91,17.13,51.02,51.26,154478.98642857143,-11938.46,-10.61999999999989,-9.78,-5.55,2813.24,2789.29,138.65999999999985,-159.9000000000001,25.25,49.19999999999982,-13.189999999999998,26.810000000000002,6.780000000000001,-10.04,298.55999999999995,172.7305000000003,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,224.29357633370017,165.12016568555026,None
2024-02-16 20:00:00,2764.04,2812.5,2759.55,2804.05,70614.25,196962163.2256,2024-02-16 20:00:00,61.85,2827.97,2688.51,2758.24,2897.71,2618.78,2967.44,2549.05,10.11,56.22,66.62,-10.4,22.66,15.9,48.63,50.42,147357.86142857143,-7121.12,-45.8100000000004,-21.8,-1.83,2814.18,2795.19,93.65999999999985,-185.26999999999998,-8.860000000000127,10.129999999999654,-8.149999999999999,31.85,6.76,-10.400000000000006,278.92999999999984,218.74200000000036,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,228.25762034799362,167.41816221557582,None
2024-02-17 00:00:00,2804.05,2806.38,2779.04,2794.78,42521.23,118759573.1352,2024-02-17 00:00:00,60.1,2822.31,2701.14,2761.72,2882.89,2640.55,2943.48,2579.97,8.77,52.51,63.8,-11.28,21.78,15.28,46.41,49.74,142786.49357142855,-4571.36,-33.0600000000004,-41.57,-1.5,2810.35,2795.02,88.10999999999967,-154.23000000000002,0.23999999999978172,15.569999999999709,-9.899999999999999,30.1,6.500000000000002,-11.29,242.3399999999997,208.0815000000004,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,221.22575096611644,189.81213840067147,None
2024-02-17 04:00:00,2794.78,2800.6,2780.39,2796.97,35111.01,98002411.3697,2024-02-17 04:00:00,60.38,2817.58,2712.57,2765.08,2870.09,2660.07,2922.59,2607.57,7.59,49.18,60.87,-11.68,21.14,14.83,44.35,49.27,138505.98285714287,-4280.51,-31.889999999999873,-47.13,-1.07,2805.96,2795.8,73.12000000000035,-136.89999999999964,-1.169999999999618,8.990000000000236,-9.619999999999997,30.380000000000003,6.3100000000000005,-11.689999999999998,210.01999999999998,210.60000000000008,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,214.58454099434329,191.36328605843818,None
2024-02-17 08:00:00,2796.97,2796.97,2765.0,2782.73,73457.73,204111338.281,2024-02-17 08:00:00,57.5,2807.89,2725.63,2766.76,2849.02,2684.49,2890.16,2643.36,5.94,44.88,57.68,-12.79,20.12,16.44,41.9,48.28,130057.79214285713,-8448.19,-15.9699999999998,-58.28,-3.27,2801.25,2790.57,66.28999999999996,-98.24000000000024,7.8400000000001455,18.519999999999982,-12.5,27.5,3.6799999999999997,-12.799999999999997,164.5300000000002,194.22400000000033,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,210.41367729234724,173.68020275989437,None
