,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
46,733,865,1674057600000.0,21025.0,21025.0,20459.0,20653.0,33487.053,694836880.0895,2023-01-18 16:00:00,1.262e-05,-0.000581,52668.35,22.77,21367.39,21047.26,21207.32,21527.45,20887.2,21687.51,20727.13,-40.03,2.2,-42.23,18.3,40.32,25.03,19.4,9541.426785714284,1896.29,-58.34,283.08,-19.88,21225.05,20932.75,EnterPreparationState,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,734,866,1674059400000.0,20653.0,20955.5,20385.0,20848.0,26274.25,542191943.004,2023-01-18 16:30:00,1.262e-05,0.00041,51966.976,35.0,21352.93,20993.28,21173.1,21532.75,20813.45,21712.58,20633.63,-63.26,-10.89,-52.37,14.79,35.08,26.15,20.55,11226.584785714283,1685.15,-34.22,158.13,-3.39,21183.5,20890.37,PositionState,lower,20848.0,20818.5,0.0,29.5,174.0,-141.0,49.41666666666666,104.81999999999972
48,765,897,1674115200000.0,20809.5,20837.0,20761.0,20795.5,2209.05,45947200.681,2023-01-19 08:00:00,0.0001,-0.000337,53850.299,46.11,20857.58,20762.72,20810.15,20905.01,20715.29,20952.44,20667.86,-28.54,-47.49,18.94,16.79,23.64,21.81,26.79,1209.056642857143,56.19,-1.53,0.4,-3.48,20812.33,20804.95,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,766,898,1674117000000.0,20795.5,20807.0,20744.5,20758.5,1739.216,36129188.3645,2023-01-19 08:30:00,0.0001,-0.000468,53614.794,42.76,20852.04,20758.42,20805.23,20898.84,20711.61,20945.65,20664.81,-29.75,-43.94,14.19,15.91,23.78,21.67,26.96,1270.741642857143,61.68,-4.92,-4.64,-2.12,20805.66,20781.72,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,767,899,1674118800000.0,20758.5,20788.5,20751.0,20753.5,1060.499,22022401.979,2023-01-19 09:00:00,0.0001,-0.000376,53961.346,42.32,20846.58,20754.03,20800.3,20892.85,20707.75,20939.13,20661.48,-30.76,-41.31,10.54,15.39,23.01,21.53,26.93,1238.3613571428573,-32.38,-4.93,-8.29,-0.62,20799.94,20767.61,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,768,900,1674120600000.0,20753.5,20804.0,20720.5,20792.0,2034.901,42253125.0365,2023-01-19 09:30:00,0.0001,-0.000233,54106.822,46.92,20840.42,20758.6,20799.51,20881.33,20717.69,20922.25,20676.78,-28.13,-38.67,10.54,14.27,23.99,21.81,26.8,1321.148857142857,82.78,-0.79,-27.44,-2.61,20797.77,20779.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,769,901,1674122400000.0,20792.0,20797.5,20757.0,20757.0,693.998,14424867.791,2023-01-19 10:00:00,0.0001,-0.000117,54181.94,43.52,20833.63,20757.3,20795.46,20871.8,20719.13,20909.96,20680.96,-28.54,-36.64,8.1,13.75,23.11,22.06,26.72,1252.802285714286,-68.34,-4.04,-22.49,-0.76,20792.72,20768.4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,770,902,1674124200000.0,20757.0,20783.0,20744.0,20782.5,960.102,19932094.53,2023-01-19 10:30:00,0.0001,-0.000504,54273.743,46.55,20826.68,20761.77,20794.23,20859.14,20729.31,20891.6,20696.85,-26.5,-34.62,8.11,13.25,23.48,22.48,26.47,1253.2017142857144,0.39,-1.22,-32.37,-1.39,20787.83,20775.45,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,771,903,1674126000000.0,20782.5,20787.5,20700.5,20714.0,1993.544,41329710.3755,2023-01-19 11:00:00,0.0001,-0.000899,54688.965,40.29,20822.17,20751.0,20786.59,20857.75,20715.42,20893.34,20679.84,-30.06,-33.71,3.64,12.18,25.62,23.41,26.25,1298.711857142857,45.51,-7.63,-0.15,-3.71,20775.88,20744.72,EnterPreparationState,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,772,904,1674127800000.0,20714.0,20736.0,20682.0,20725.5,2133.51,44188927.2955,2023-01-19 11:30:00,0.0001,-0.000819,54934.312,41.71,20815.01,20746.53,20780.77,20849.25,20712.29,20883.49,20678.04,-31.6,-33.28,1.68,11.55,26.06,24.49,26.16,1287.1840714285715,-11.52,-5.81,-6.76,-2.13,20765.33,20735.11,PositionState,lower,20725.5,20786.5,0.0,-61.0,10.5,-61.0,-26.571428571428573,-36.95000000000073
