,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
4033,4165,1679997600000.0,26870.0,26918.2,26702.2,26758.0,5388.774,144457419.2535,2023-03-28 10:00:00,8.063e-05,57172.67,33.11,27047.67,26910.64,26979.16,27116.19,26842.12,27184.71,26773.61,-70.69,-67.17,-3.51,15.8,30.69,21.43,24.67,2114.696785714286,307.04,-23.27,50.4,-6.39,26964.56,26842.69,PositionState,lower,26758.0,27044.1,0.0,-286.09999999999854,28.0,-286.09999999999854,-98.22499999999945,-99.14000000000306
4137,4269,1680184800000.0,28501.1,28528.1,28230.5,28387.3,9397.804,266480879.7545,2023-03-30 14:00:00,0.0001,55434.694,42.09,28619.28,28478.66,28548.97,28689.59,28408.35,28759.9,28338.03,14.14,44.06,-29.92,18.57,31.1,11.95,14.6,3350.6555714285714,561.92,-17.02,48.88,-7.3,28560.05,28465.48,PositionState,lower,28387.3,28112.9,0.0,274.3999999999978,557.3999999999978,-31.100000000002183,297.60952380952307,413.22999999999956
4172,4304,1680247800000.0,27788.4,27807.2,27486.6,27729.8,10495.446,290160118.1813,2023-03-31 07:30:00,8.299e-05,53230.053,30.53,28186.43,27918.28,28052.35,28320.5,27784.2,28454.57,27650.13,-76.89,-46.54,-30.34,12.5,40.15,24.66,26.34,3124.9327857142857,258.49,-33.96,116.54,-7.27,28026.54,27827.82,PositionState,lower,27729.8,28094.1,0.0,-364.2999999999993,0.0,-364.2999999999993,-129.73636363636385,-171.86999999999898
4283,4415,1680447600000.0,28263.4,28263.5,28016.0,28097.1,10221.106,287263327.7375,2023-04-02 15:00:00,4.341e-05,55236.879,25.92,28399.39,28229.21,28314.3,28484.49,28144.11,28569.58,28059.02,-52.73,-32.72,-20.01,14.43,45.52,23.83,17.98,2655.664357142857,570.48,-22.86,80.33,-15.59,28269.51,28185.26,PositionState,lower,28097.1,28155.9,0.0,-58.80000000000291,169.39999999999782,-82.80000000000291,20.583333333331513,70.34999999999854
4304,4436,1680485400000.0,27999.9,28030.9,27553.6,27702.4,12822.786,355526238.7285,2023-04-03 01:30:00,9.336e-05,54321.127,29.44,28172.64,27959.98,28066.31,28278.98,27853.64,28385.31,27747.31,-75.58,-63.5,-12.07,12.4,47.81,38.22,36.15,2973.808357142857,860.73,-38.3,138.86,-20.1,28025.59,27878.36,PositionState,lower,27702.4,27907.0,0.0,-204.59999999999854,45.5,-204.59999999999854,-25.41666666666515,60.19000000000233
4342,4474,1680553800000.0,27740.9,27794.9,27410.0,27564.4,8716.782,240575652.2788,2023-04-03 20:30:00,2.306e-05,52835.891,30.67,28165.41,27827.68,27996.55,28334.28,27658.81,28503.15,27489.94,-62.53,-14.84,-47.68,15.51,35.04,19.94,26.13,4529.677214285714,134.13,-45.49,129.59,-9.23,27950.14,27737.29,PositionState,lower,27564.4,27903.0,0.0,-338.59999999999854,56.5,-338.59999999999854,-197.51666666666551,-117.5099999999984
4425,4557,1680703200000.0,28399.2,28477.5,28084.0,28160.0,12358.514,348781405.0869,2023-04-05 14:00:00,0.0001,53750.111,31.76,28542.99,28368.58,28455.78,28630.19,28281.38,28717.39,28194.18,0.97,41.88,-40.91,13.8,28.29,29.89,32.66,3770.282285714286,786.66,-31.13,203.57,-10.25,28464.01,28308.11,PositionState,lower,28160.0,28186.8,0.0,-26.799999999999272,252.5,-26.799999999999272,130.40000000000012,214.84000000000015
4508,4640,1680852600000.0,27912.8,27912.8,27755.0,27823.7,5234.776,145663707.1607,2023-04-07 07:30:00,7.384e-05,54639.307,34.92,28028.67,27911.53,27970.1,28087.24,27852.95,28145.81,27794.38,-26.65,-9.15,-17.5,8.57,33.19,24.91,18.36,1408.7434285714285,287.19,-15.4,52.86,-9.77,27959.75,27878.23,PositionState,lower,27823.7,27951.9,0.0,-128.20000000000073,32.10000000000218,-128.20000000000073,-47.66428571428488,-33.38999999999942
4577,4709,1680976800000.0,27925.6,27941.5,27872.1,27925.8,1647.957,46004923.7868,2023-04-08 18:00:00,5.449e-05,54781.076,38.82,28015.44,27956.95,27986.19,28044.68,27927.7,28073.93,27898.45,-9.22,2.12,-11.35,13.66,30.12,18.88,23.66,956.1082142857143,91.1,-6.36,-13.94,-1.42,27983.51,27941.23,PositionState,lower,27925.8,27951.2,0.0,-25.400000000001455,47.70000000000073,-25.400000000001455,11.745454545454281,9.020000000000437
4738,4870,1681266600000.0,29929.7,29978.6,29810.0,29909.3,4409.791,131814999.6337,2023-04-12 02:30:00,0.0001,58179.115,39.04,30237.77,30024.4,30131.08,30344.45,29917.72,30451.13,29811.03,-3.18,36.52,-39.71,17.79,26.01,22.72,26.27,3036.9745714285714,-363.46,-23.34,81.39,-4.89,30148.31,29985.61,PositionState,lower,29909.3,30038.9,0.0,-129.60000000000218,8.299999999999272,-129.60000000000218,-33.16000000000095,5.380000000001019
